"연령별(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)",합계,합계,합계,수원시,수원시,수원시,용인시,용인시,용인시,성남시,성남시,성남시,부천시,부천시,부천시,안산시,안산시,안산시,화성시,화성시,화성시,안양시,안양시,안양시,평택시,평택시,평택시,시흥시,시흥시,시흥시,김포시,김포시,김포시,광명시,광명시,광명시,광주시,광주시,광주시,군포시,군포시,군포시,이천시,이천시,이천시,오산시,오산시,오산시,하남시,하남시,하남시,안성시,안성시,안성시,의왕시,의왕시,의왕시,여주시,여주시,여주시,과천시,과천시,과천시,양평군,양평군,양평군,고양시,고양시,고양시,남양주시,남양주시,남양주시,의정부시,의정부시,의정부시,파주시,파주시,파주시,양주시,양주시,양주시,구리시,구리시,구리시,포천시,포천시,포천시,동두천시,동두천시,동두천시,가평군,가평군,가평군,연천군,연천군,연천군
"연령별(1)",계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
"30~34세",934442,490921,443521,95017,50679,44338,64281,32701,31580,68561,35581,32980,55999,28961,27038,45425,25052,20373,71550,38388,33162,40665,20955,19710,45367,25844,19523,36541,19916,16625,30941,15119,15822,18904,9793,9111,25308,13214,12094,19407,10264,9143,15562,8826,6736,17350,9841,7509,24680,12230,12450,10692,6043,4649,11404,5861,5543,5543,3037,2506,5629,2797,2832,4950,2642,2308,72636,36273,36363,41004,20711,20293,30485,15725,14760,33237,17123,16114,13897,7315,6582,12116,6148,5968,7598,4391,3207,4774,2625,2149,2712,1522,1190,2207,1344,863
"35~39세",947858,487306,460552,85624,44666,40958,71824,35261,36563,65241,32956,32285,52854,27207,25647,38602,20858,17744,78712,40861,37851,38351,19714,18637,43811,24000,19811,39364,20870,18494,39206,19158,20048,19503,9895,9608,29036,15074,13962,17626,9303,8323,14907,7802,7105,18614,10014,8600,27808,13971,13837,11284,6120,5164,10876,5531,5345,5567,2894,2673,6004,2948,3056,5441,2755,2686,70485,35134,35351,47462,23210,24252,29971,15270,14701,36536,19352,17184,15051,7769,7282,12162,6153,6009,6761,3740,3021,4714,2390,2324,2688,1447,1241,1773,983,790
"40~44세",1152412,589373,563039,99790,50694,49096,95555,46834,48721,74881,37069,37812,61129,31229,29900,46522,24538,21984,95864,50236,45628,41509,20972,20537,51515,28052,23463,48083,25922,22161,50893,25884,25009,23852,11692,12160,36180,19122,17058,19952,10026,9926,17578,9420,8158,23485,12617,10868,33019,16823,16196,14860,8005,6855,11671,6000,5671,7596,3880,3716,6253,3094,3159,7668,3781,3887,83918,41219,42699,66291,32690,33601,35812,18486,17326,43233,22517,20716,19743,10006,9737,15292,7793,7499,8425,4615,3810,6202,3175,3027,3497,1855,1642,2144,1127,1017
"45~49세",1132191,573341,558850,98485,49092,49393,98707,48647,50060,75217,36951,38266,60717,30362,30355,52813,26913,25900,82379,43849,38530,43018,20895,22123,48441,25758,22683,44708,24222,20486,42708,22395,20313,24692,12147,12545,32698,17126,15572,21272,10340,10932,17442,8857,8585,21100,11153,9947,26742,14032,12710,14945,7946,6999,11815,5791,6024,8161,4179,3982,5647,2746,2901,8481,4321,4160,88936,42918,46018,65586,32969,32617,36427,18075,18352,41421,20982,20439,20663,10580,10083,15297,7547,7750,10230,5421,4809,6962,3578,3384,4072,2209,1863,2409,1340,1069
"50~54세",1233203,622921,610282,107098,53205,53893,100659,50557,50102,83621,41863,41758,72121,35174,36947,65749,32587,33162,73678,39612,34066,50200,24369,25831,51706,27386,24320,48264,24948,23316,38405,19739,18666,26318,13021,13297,35584,18455,17129,24787,12107,12680,18885,9863,9022,19671,10390,9281,25416,12968,12448,16810,8997,7813,14565,6820,7745,9839,5190,4649,6760,3212,3548,10155,5301,4854,106052,51378,54674,68413,34727,33686,43372,21228,22144,44287,23141,21146,22183,11544,10639,18120,8741,9379,13774,7522,6252,8473,4437,4036,5128,2746,2382,3110,1693,1417
"55~59세",1060219,537073,523146,91777,45880,45897,76038,38821,37217,70738,35285,35453,68853,33104,35749,60449,31113,29336,55783,29909,25874,44907,21811,23096,42623,22600,20023,42088,22280,19808,32112,16253,15859,22318,11178,11140,31148,15828,15320,22119,10790,11329,16871,8703,8168,15246,7900,7346,21468,10675,10793,15314,8033,7281,13936,6811,7125,10162,5297,4865,6249,3056,3193,10936,5522,5414,91548,44869,46679,56391,28694,27697,38056,18732,19324,35792,18525,17267,19074,10022,9052,16238,8054,8184,14774,8137,6637,7770,4142,3628,5763,3065,2698,3678,1984,1694
"60~64세",1030329,519074,511255,84178,42379,41799,67249,33652,33597,70914,34759,36155,73084,35784,37300,53604,28407,25197,51069,26773,24296,46739,22619,24120,39163,20254,18909,36506,19799,16707,31769,15895,15874,22863,10882,11981,31978,15900,16078,23013,11140,11873,17763,9223,8540,14062,7123,6939,22887,11102,11785,16367,8412,7955,14226,6904,7322,11575,5982,5593,5860,2881,2979,13866,6950,6916,84612,42543,42069,54001,26960,27041,37366,18341,19025,34288,17516,16772,18879,9662,9217,16139,8116,8023,16426,8937,7489,8266,4174,4092,7199,3674,3525,4418,2331,2087
"65~69세",720633,353394,367239,54289,26258,28031,50750,23578,27172,52539,25538,27001,50033,24381,25652,31250,16049,15201,33734,16898,16836,32280,15851,16429,25538,12548,12990,21383,10954,10429,24336,11584,12752,17230,8146,9084,23299,11629,11670,15143,7440,7703,12249,6272,5977,9303,4489,4814,17489,8416,9073,12260,6109,6151,9915,4938,4977,9334,4704,4630,4147,2040,2107,11793,5879,5914,56499,28112,28387,40919,19530,21389,26943,12773,14170,24430,12014,12416,14582,7237,7345,10820,5316,5504,11769,6419,5350,6316,3053,3263,6145,3205,2940,3916,2034,1882
"70~74세",462505,218374,244131,34511,16106,18405,37503,16855,20648,34312,16073,18239,29946,14535,15411,18331,8763,9568,21356,10284,11072,19794,9544,10250,16837,7767,9070,12538,6112,6426,16374,7742,8632,10793,5041,5752,14570,7137,7433,8978,4378,4600,7997,3841,4156,6038,2833,3205,11514,5731,5783,8239,4032,4207,5669,2807,2862,6205,3147,3058,2465,1184,1281,7984,4000,3984,34454,15701,18753,27737,12888,14849,17884,8085,9799,16222,7415,8807,9515,4477,5038,6890,3236,3654,6946,3503,3443,4480,1975,2505,3920,1964,1956,2503,1218,1285
"75~79세",346158,153038,193120,25233,10877,14356,30588,13552,17036,25436,11209,14227,19992,8921,11071,13143,5656,7487,14652,6755,7897,13924,6143,7781,12770,5464,7306,8744,3791,4953,11767,5489,6278,7501,3309,4192,9916,4759,5157,6734,2841,3893,5915,2698,3217,4439,1879,2560,7367,3655,3712,6280,2807,3473,3869,1764,2105,4676,2177,2499,1848,805,1043,6091,2974,3117,28630,11808,16822,20696,9255,11441,14272,6146,8126,13572,5811,7761,7747,3598,4149,5147,2190,2957,5733,2545,3188,3968,1639,2329,3175,1487,1688,2333,1034,1299
"80~84세",266381,105876,160505,18920,7336,11584,22480,10068,12412,18593,7707,10886,14789,5538,9251,10432,3813,6619,11041,4394,6647,10417,4049,6368,10509,4040,6469,7010,2576,4434,8430,3480,4950,5647,2115,3532,6940,2898,4042,5405,2073,3332,4863,1913,2950,3337,1319,2018,4768,1950,2818,5224,1998,3226,3026,1217,1809,4017,1621,2396,1403,580,823,4676,2021,2655,24305,9260,15045,15395,6341,9054,10990,4341,6649,11249,4366,6883,5808,2327,3481,3811,1548,2263,4784,1834,2950,3455,1309,2146,2607,1070,1537,2050,774,1276
"85~89세",137340,45134,92206,9839,3079,6760,11061,4266,6795,9506,3222,6284,7547,2278,5269,5832,1641,4191,6011,1961,4050,5507,1655,3852,5526,1788,3738,3503,983,2520,4122,1406,2716,2734,785,1949,3306,1132,2174,3121,1013,2108,2671,874,1797,1515,506,1009,2307,717,1590,3022,978,2044,1662,506,1156,2073,701,1372,852,289,563,2547,877,1670,13508,4467,9041,7219,2409,4810,5358,1782,3576,5575,1932,3643,2968,1031,1937,1791,597,1194,2553,845,1708,1610,532,1078,1411,520,891,1083,362,721
"90~94세",47654,11867,35787,3449,853,2596,3871,1141,2730,3507,909,2598,2740,617,2123,1972,451,1521,2046,440,1606,2013,474,1539,1762,413,1349,1245,247,998,1452,373,1079,983,217,766,1100,237,863,1086,299,787,834,209,625,481,113,368,910,186,724,1016,225,791,636,149,487,768,197,571,333,101,232,919,224,695,4585,1260,3325,2525,626,1899,1691,412,1279,2010,527,1483,991,231,760,577,167,410,840,204,636,508,140,368,466,131,335,338,94,244
"95~99세",10411,2014,8397,758,141,617,833,176,657,774,155,619,583,103,480,481,89,392,423,59,364,400,89,311,379,88,291,284,52,232,330,59,271,201,47,154,262,44,218,242,57,185,193,43,150,114,20,94,226,41,185,207,36,171,156,29,127,169,31,138,83,11,72,181,40,141,951,195,756,551,97,454,363,72,291,416,69,347,234,44,190,118,21,97,204,41,163,112,23,89,100,23,77,83,19,64
"100세 이상",1725,356,1369,123,19,104,140,29,111,133,36,97,122,30,92,70,11,59,71,17,54,55,8,47,51,8,43,49,10,39,47,11,36,39,7,32,55,10,45,43,7,36,28,5,23,10,1,9,37,5,32,36,6,30,21,2,19,27,4,23,9,3,6,26,3,23,148,39,109,123,20,103,54,11,43,69,18,51,41,7,34,19,4,15,34,11,23,15,3,12,17,6,11,13,5,8
